VISHAY NTC RT Calculation
The NTC R/T Calculator tool may be used to determine certain capabilities of Vishay NTC thermistors."Utilizing data provided by the user," the tool can generate standard R/T tables for such thermistors. TheNTC R/T Calculator tool is provided solely on an "AS IS" and "AS AVAILABLE" basis for the convenience"of Vishay customers, and without any warranties or representations of any kind, express or implied," all"of which are hereby expressly disclaimed. Any information, computations," or results generated by the"tool, or otherwise available from or through the csv or pdf files," is provided and utilized at your owndiscretion and risk. Vishay does not assume any responsibility or liability resulting from your use of  the"tool or any such information, computations, or results," and shall have none."The foregoing is in addition to, and not in limitations of," the disclaimer below:Vishay disclaimer https://www.vishay.com/doc?91000"For technical questions or inquiries," contact: nlr@vishay.com or thermistor1@vishay.comOrdering Code,,NTCALUG54A103G351A
"53","3213.08","3130.0","3296.1","2.59","0.69","-3.75"
"53.5","3153.52","3071.7","3235.3","2.59","0.69","-3.74"
"54","3095.22","3014.6","3175.8","2.60","0.70","-3.73"
"54.5","3038.14","2958.7","3117.5","2.61","0.70","-3.72"
"55","2982.27","2904.0","3060.5","2.62","0.71","-3.71"
"55.5","2927.58","2850.5","3004.6","2.63","0.71","-3.70"
"56","2874.02","2798.1","2949.9","2.64","0.72","-3.69"
"56.5","2821.59","2746.8","2896.4","2.65","0.72","-3.68"
"57","2770.26","2696.6","2844.0","2.66","0.72","-3.67"
"57.5","2719.99","2647.4","2792.6","2.67","0.73","-3.66"
"58","2670.76","2599.2","2742.3","2.68","0.73","-3.65"
"58.5","2622.56","2552.1","2693.1","2.69","0.74","-3.64"
"59","2575.34","2505.9","2644.8","2.70","0.74","-3.63"
"59.5","2529.11","2460.7","2597.6","2.71","0.75","-3.62"
"60","2483.82","2416.4","2551.3","2.72","0.75","-3.61"
"60.5","2439.46","2373.0","2505.9","2.73","0.76","-3.60"
"61","2396.00","2330.5","2461.5","2.73","0.76","-3.59"
"61.5","2353.44","2288.9","2418.0","2.74","0.77","-3.58"
"62","2311.74","2248.1","2375.4","2.75","0.77","-3.57"
"62.5","2270.88","2208.2","2333.6","2.76","0.78","-3.56"
"63","2230.85","2169.0","2292.7","2.77","0.78","-3.55"
"63.5","2191.64","2130.7","2252.6","2.78","0.79","-3.54"
"64","2153.21","2093.2","2213.2","2.79","0.79","-3.53"
"64.5","2115.55","2056.4","2174.7","2.80","0.79","-3.52"
"65","2078.65","2020.3","2137.0","2.81","0.80","-3.51"
"65.5","2042.49","1985.0","2100.0","2.82","0.80","-3.51"
"66","2007.05","1950.4","2063.7","2.82","0.81","-3.50"
"66.5","1972.32","1916.5","2028.2","2.83","0.81","-3.49"
"67","1938.27","1883.2","1993.3","2.84","0.82","-3.48"
"67.5","1904.90","1850.6","1959.2","2.85","0.82","-3.47"
"68","1872.19","1818.7","1925.7","2.86","0.83","-3.46"
"68.5","1840.12","1787.4","1892.9","2.87","0.83","-3.45"
"69","1808.69","1756.7","1860.7","2.88","0.84","-3.44"
"69.5","1777.87","1726.6","1829.2","2.89","0.84","-3.43"
"70","1747.65","1697.1","1798.2","2.89","0.85","-3.42"
